Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
OGLE-TR-L9 (mag=0.0119),6/13/14,04:19:38 AM,6/13/14,07:27:40 AM,False,"OGLE-TR-L9; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-L9&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 49°S,2456821.6942; End Transit: 54°SE,2456821.7970; Location: RA=11 07 55.29, DE=-61 08 46.3; D: 148; V: 14; Depth(Mag): 0.0119",GMUObservatory,False
WASP-46 (mag=0.0204),6/14/14,03:17:00 AM,6/14/14,05:37:22 AM,False,"WASP-46; Prediction URL: 'predict_detail.php?STARNAME=WASP-46&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 64°NW,2456822.6507; End Transit: 59°W,2456822.7204; Location: RA=21 14 56.86, DE=-55 52 18.1; D: 100.4; V: 12.9; Depth(Mag): 0.0204",GMUObservatory,False
WASP-18 (mag=0.0108),6/14/14,03:47:06 AM,6/14/14,06:35:41 AM,False,"WASP-18; Prediction URL: 'predict_detail.php?STARNAME=WASP-18&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 56°NE,2456822.6716; End Transit: 57°N,2456822.7609; Location: RA=01 37 24.95, DE=-45 40 40.8; D: 128.6; V: 9.29; Depth(Mag): 0.0108",GMUObservatory,False
WASP-18 (mag=0.0108),6/15/14,02:22:43 AM,6/15/14,05:11:18 AM,False,"WASP-18; Prediction URL: 'predict_detail.php?STARNAME=WASP-18&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 54°NE,2456823.6130; End Transit: 57°N,2456823.7023; Location: RA=01 37 24.95, DE=-45 40 40.8; D: 128.6; V: 9.29; Depth(Mag): 0.0108",GMUObservatory,False
WASP-97 (mag=0.0128),6/15/14,03:39:36 AM,6/15/14,06:54:33 AM,False,"WASP-97; Prediction URL: 'predict_detail.php?STARNAME=WASP-97&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 66°NE,2456823.6664; End Transit: 67°NW,2456823.7740; Location: RA=01 38 25.04, DE=-55 46 19.4; D: 154.94; V: 10.6; Depth(Mag): 0.0128",GMUObservatory,False
WASP-23 (mag=0.0215),6/16/14,03:52:17 AM,6/16/14,06:55:59 AM,False,"WASP-23; Prediction URL: 'predict_detail.php?STARNAME=WASP-23&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 39°E,2456824.6752; End Transit: 47°E,2456824.7750; Location: RA=06 44 30.50, DE=-42 45 41.2; D: 143.7; V: 12.68; Depth(Mag): 0.0215",GMUObservatory,False
WASP-19 (mag=0.0215),6/16/14,04:44:07 AM,6/16/14,06:56:25 AM,False,"WASP-19; Prediction URL: 'predict_detail.php?STARNAME=WASP-19&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 36°SE,2456824.7112; End Transit: 40°SE,2456824.7753; Location: RA=09 53 40.077, DE=-45 39 33.06; D: 92.4; V: 12.3; Depth(Mag): 0.0215",GMUObservatory,False
WASP-22 (mag=0.0108),6/17/14,02:16:23 AM,6/17/14,06:13:39 AM,False,"WASP-22; Prediction URL: 'predict_detail.php?STARNAME=WASP-22&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 27°E,2456825.6086; End Transit: 34°NE,2456825.7456; Location: RA=03 31 16.3, DE=-23 49 10.0; D: 197.3; V: 12; Depth(Mag): 0.0108",GMUObservatory,False
OGLE-TR-113 (mag=0.0245),6/18/14,02:01:07 AM,6/18/14,04:33:09 AM,False,"OGLE-TR-113; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-113&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 48°S,2456826.5980; End Transit: 49°S,2456826.6758; Location: RA=10 52 24, DE=-61 26 48; D: 112; V: 14.42; Depth(Mag): 0.0245",GMUObservatory,False
OGLE-TR-L9 (mag=0.0119),6/18/14,03:38:01 AM,6/18/14,06:46:03 AM,False,"OGLE-TR-L9; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-L9&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 49°S,2456826.6653; End Transit: 53°SE,2456826.7681; Location: RA=11 07 55.29, DE=-61 08 46.3; D: 148; V: 14; Depth(Mag): 0.0119",GMUObservatory,False
